"gene","id","logFC","padj","Enriched"
"Sept3",10425726,-1.48136893435461,0.000145782899505841,"cDC1_ctrl"
"Parvg",10425866,-1.31554991172352,0.000145782899505841,"cDC1_ctrl"
"Il2ra",10469278,1.57758635147251,0.000145782899505841,"cDC1_LPS"
"Clec4e",10547664,3.91159460129744,0.000208835716659544,"cDC1_LPS"
"Ccr2",10590631,-2.61920670586638,0.000208835716659544,"cDC1_ctrl"
"G530011O06Rik",10607950,1.35154449116247,0.000208835716659544,"cDC1_LPS"
"Tnip3",10538791,1.92351970913343,0.000208835716659544,"cDC1_LPS"
"Fas",10462603,1.6866363031113,0.000208835716659544,"cDC1_LPS"
"Dpep3",10581421,-1.72295951732014,0.000208835716659544,"cDC1_ctrl"
"Tm6sf1",10554574,-1.40432973624106,0.00023672114171051,"cDC1_ctrl"
"F630028O10Rik",10600852,-3.66092395122878,0.00023672114171051,"cDC1_ctrl"
"Cacna1e",10358928,-1.52545955298121,0.00023672114171051,"cDC1_ctrl"
"Nrp2",10346843,1.71874683887925,0.00023672114171051,"cDC1_LPS"
"Cd80",10435712,1.44980867874753,0.00023672114171051,"cDC1_LPS"
"Cd70",10452301,1.80359478371941,0.00023672114171051,"cDC1_LPS"
"Gbp7",10496569,2.09449144161099,0.00023931329253768,"cDC1_LPS"
"Srgap3",10546855,-1.57784493848517,0.00023931329253768,"cDC1_ctrl"
"Oasl2",10524621,1.29893251653186,0.00023931329253768,"cDC1_LPS"
"Lpar6",10416371,-1.2890232624556,0.00023931329253768,"cDC1_ctrl"
"Dusp14",10389238,1.27289775253016,0.00023931329253768,"cDC1_LPS"
"Sigmar1",10512308,-1.17180098558277,0.00023931329253768,"cDC1_ctrl"
"Tmigd3///Adora3",10495107,-1.87542540218984,0.00023931329253768,"cDC1_ctrl"
"Srgap3",10546853,-1.57100968451037,0.00023931329253768,"cDC1_ctrl"
"Dpep2",10581434,-1.89252299438789,0.00023931329253768,"cDC1_ctrl"
"Pydc4",10360373,1.46559016615267,0.00023931329253768,"cDC1_LPS"
"Tlr3",10578493,-2.25660415086969,0.00023931329253768,"cDC1_ctrl"
"Ifit1",10462623,3.19678194398689,0.00023931329253768,"cDC1_LPS"
"Tbxas1",10537410,-1.3809181655492,0.000299223308408193,"cDC1_ctrl"
"Arsb",10406672,-1.33366819270728,0.000297090592455431,"cDC1_ctrl"
"Cd80",10435704,1.57613644870277,0.000303889599783715,"cDC1_LPS"
"Susd2",10369932,1.15499358519002,0.000414036306972419,"cDC1_LPS"
"Nmrk1",10461909,1.18756560080639,0.000414036306972419,"cDC1_LPS"
"Ikzf4",10373502,1.24226420238045,0.000414775077395423,"cDC1_LPS"
"Itgb7",10432957,-0.97190445926142,0.000446524837677167,"cDC1_ctrl"
"Hepacam2",10542917,-1.33883646718339,0.000480264692258606,"cDC1_ctrl"
"Edil3",10406504,1.52515487429218,0.000480264692258606,"cDC1_LPS"
"Tnfsf9",10446229,1.89748633499787,0.000482925966911732,"cDC1_LPS"
"Gsn",10471655,-1.05715136663518,0.000482925966911732,"cDC1_ctrl"
"Rtp4",10434778,2.91319442934816,0.000482925966911732,"cDC1_LPS"
"Serpinb9b",10404439,1.6244798259237,0.000482925966911732,"cDC1_LPS"
"Acss1",10488482,-2.07203908417876,0.000482925966911732,"cDC1_ctrl"
"Cyp27a1",10347481,-1.27236206297907,0.000494573710312278,"cDC1_ctrl"
"Gbp3",10496580,1.49703826747432,0.000494573710312278,"cDC1_LPS"
"Tex14",10380025,2.45207986640325,0.000494573710312278,"cDC1_LPS"
"Myc",10424400,-1.87894314982256,0.000494573710312278,"cDC1_ctrl"
"Tlr11",10414470,-1.62989457929821,0.000503380999372527,"cDC1_ctrl"
"Car13",10490903,1.69779710598309,0.000494573710312278,"cDC1_LPS"
"Klhl6",10438445,-1.47393780421946,0.000531915760573625,"cDC1_ctrl"
"Acp5",10591739,1.32442977955326,0.000531915760573625,"cDC1_LPS"
"Lbh",10446763,-0.955656418349517,0.000531915760573625,"cDC1_ctrl"
"Nedd9",10408850,-1.28127524186466,0.000536957651283484,"cDC1_ctrl"
"Acod1",10416837,3.90306777495025,0.000574172932018814,"cDC1_LPS"
"Kdr",10530692,2.40974295311679,0.000574172932018814,"cDC1_LPS"
"Bcl2l1",10488655,1.91596498662914,0.000574172932018814,"cDC1_LPS"
"H2-Ob",10444284,-1.07423147149126,0.000574172932018814,"cDC1_ctrl"
"Dpep2",10581448,-2.10436116635004,0.000574172932018814,"cDC1_ctrl"
"Pilra",10534927,0.925480080668613,0.000574172932018814,"cDC1_LPS"
"Mir155",10436662,2.63666905759416,0.000574172932018814,"cDC1_LPS"
"Sipa1l1",10397002,0.903926801131895,0.000574172932018814,"cDC1_LPS"
"LOC677008///Cd244",10351644,-0.82992390333691,0.000591187775090484,"cDC1_ctrl"
"Hax1",10478938,1.13136505094043,0.000591994044715216,"cDC1_LPS"
"Bcl2l11",10475866,1.53525413632666,0.000591187775090484,"cDC1_LPS"
"Hax1",10499705,1.12523092534036,0.000591994044715216,"cDC1_LPS"
"Atp8b4",10487208,-1.50164817209252,0.000591994044715216,"cDC1_ctrl"
"Saa3",10563597,2.62772686653786,0.000591994044715216,"cDC1_LPS"
"Cd72",10512470,3.20989779488857,0.000591994044715216,"cDC1_LPS"
"Sh2d3c",10471505,-1.31959080267845,0.000591994044715216,"cDC1_ctrl"
"Idi1",10403413,1.26953991800286,0.000601359106150849,"cDC1_LPS"
"Anxa6",10385966,-1.22632980297628,0.000611882564227582,"cDC1_ctrl"
"Casp4",10582997,2.17132222071371,0.000611882564227582,"cDC1_LPS"
"Cish",10588577,0.888559792206466,0.000632159830704732,"cDC1_LPS"
"Zbp1",10490150,1.28544424288699,0.00063585404775005,"cDC1_LPS"
"B430305J03Rik",10498403,0.972965686206365,0.000634475792521746,"cDC1_LPS"
"Itpr1",10540408,-1.25334738122092,0.000640039944517687,"cDC1_ctrl"
"Lrmp",10542691,-1.33296485513634,0.000638852297185177,"cDC1_ctrl"
"Fuca1",10509127,-0.678242410872697,0.000656103983376671,"cDC1_ctrl"
"Zfp395",10416004,-1.58115787801053,0.000656103983376671,"cDC1_ctrl"
"Rnase6",10414548,-1.22775891539055,0.000690262928991142,"cDC1_ctrl"
"Evl",10398267,-1.2711033989911,0.000699428386588316,"cDC1_ctrl"
"Sept6",10604057,-1.18384937297933,0.000699428386588316,"cDC1_ctrl"
"Rsad2",10399710,2.19149988437846,0.000699428386588316,"cDC1_LPS"
"Sim2",10437055,0.849401465888977,0.000700852714528807,"cDC1_LPS"
"Txndc16",10419170,-1.4191829064541,0.000700852714528807,"cDC1_ctrl"
"1110032F04Rik",10492556,1.55741240220702,0.000700852714528807,"cDC1_LPS"
"Kdm5c",10602644,0.855359357809231,0.000700852714528807,"cDC1_LPS"
"Hdac9",10399973,-1.97068157435876,0.000700852714528807,"cDC1_ctrl"
"Naip7///Naip6",10411622,-1.03070957361523,0.000738740740896447,"cDC1_ctrl"
"Cxcr3",10606058,-2.17830578167249,0.000738740740896447,"cDC1_ctrl"
"Unc119",10379176,-1.85932514578638,0.000741917327648821,"cDC1_ctrl"
"Cd300c",10392803,-1.62426030934315,0.00075406043604861,"cDC1_ctrl"
"Ampd3",10556302,-1.08953859206652,0.000774388860099502,"cDC1_ctrl"
"Tmem150b",10559644,-1.76862300541031,0.000775225456154302,"cDC1_ctrl"
"Idi1",10482762,1.17585553924267,0.000775225456154302,"cDC1_LPS"
"Spns3",10388211,1.75581682711145,0.000775225456154302,"cDC1_LPS"
"Ifi27l2a",10402347,0.652697149260717,0.000788150566740387,"cDC1_LPS"
"Arhgap9",10366886,-0.862036426501003,0.000838323425273018,"cDC1_ctrl"
"Clec9a",10542181,-1.2557743688036,0.000838323425273018,"cDC1_ctrl"
"Sh3tc1",10529497,-1.46369570332813,0.000838323425273018,"cDC1_ctrl"
"Unc119b",10532937,-1.06717496476634,0.000838323425273018,"cDC1_ctrl"
"Cd40",10478678,2.26030706724321,0.000861189459806818,"cDC1_LPS"
"Kif1a",10356712,1.57971387897338,0.000889686220693414,"cDC1_LPS"
"Pld4",10398907,-0.807528105523737,0.000893111399325754,"cDC1_ctrl"
"Slc9a9",10587854,-1.41379830858795,0.000893111399325754,"cDC1_ctrl"
"Ccl3",10389231,4.66930417504537,0.000894445458361245,"cDC1_LPS"
"Helz2",10490632,1.87234973118803,0.000899193521545554,"cDC1_LPS"
